# 中兴通讯 提交列表（纯文本视图）
# 共 354 个提交
# 生成时间: 2026-05-19 22:52:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
1734a13c | 2024-06-10 | Lu Baolu | iommu: Add iommu_paging_domain_alloc() interface
4c792d9f | 2025-02-28 | Robin Murphy | iommu: Get DT/ACPI parsing into the proper probe path
b0d43520 | 2025-02-28 | Robin Murphy | iommu: Keep dev->iommu state consistent
e12824b2 | 2025-02-28 | Robin Murphy | iommu: Resolve ops in iommu_init_device()
7e1886f8 | 2025-02-28 | Robin Murphy | iommu: Handle race with default domain setup
912e39b2 | 2025-02-27 | Robin Murphy | iommu: Unexport iommu_fwspec_free()
e9e76d80 | 2024-07-02 | Robin Murphy | iommu: Remove iommu_fwspec ops
ebf3e3cb | 2024-07-02 | Robin Murphy | OF: Simplify of_iommu_configure()
7bddb00b | 2024-07-02 | Robin Murphy | ACPI: Retire acpi_iommu_fwspec_ops()
8158deb5 | 2024-07-02 | Robin Murphy | iommu: Resolve fwspec ops automatically
42e134ee | 2023-12-07 | Jason Gunthorpe | acpi: Do not return struct iommu_ops from acpi_iommu_configure_id()
4fb6943c | 2023-12-07 | Jason Gunthorpe | iommu: Mark dev_iommu_priv_set() with a lockdep
df254acf | 2023-12-07 | Jason Gunthorpe | iommu: Mark dev_iommu_get() with lockdep
1c9f76f1 | 2023-12-07 | Jason Gunthorpe | iommu/of: Use -ENODEV consistently in of_iommu_configure()
bf993728 | 2023-12-07 | Jason Gunthorpe | iommmu/of: Do not return struct iommu_ops from of_iommu_configure()
c85b63e8 | 2023-12-07 | Jason Gunthorpe | iommu: Remove struct iommu_ops *iommu from arch_setup_dma_ops()
8cd77873 | 2023-11-21 | Robin Murphy | iommu: Clean up open-coded ownership checks
82dfbf43 | 2023-11-21 | Robin Murphy | iommu: Retire bus ops
6c229f80 | 2023-11-21 | Robin Murphy | iommu: Decouple iommu_domain_alloc() from bus ops
ce769cbe | 2023-11-21 | Robin Murphy | iommu: Validate that devices match domains
239c296d | 2023-11-21 | Robin Murphy | iommu: Decouple iommu_present() from bus ops
055a12c8 | 2023-11-21 | Robin Murphy | iommu: Factor out some helpers
6633255b | 2024-03-13 | Xiao Wang | riscv: uaccess: Relax the threshold for fast path
ce4628d8 | 2024-03-13 | Xiao Wang | riscv: uaccess: Allow the last potential unrolled copy
9b098ecf | 2024-12-24 | Atish Patra | RISC-V: KVM: Add new exit statstics for redirected traps
6990fab3 | 2024-12-24 | Atish Patra | RISC-V: KVM: Update firmware counters for various events
f2cef74c | 2024-04-29 | Yu-Wei Hsu | RISC-V: KVM: Redirect AMO load/store access fault traps to guest
5afcc7b4 | 2025-08-20 | XianLiang Huang | iommu/riscv: prevent NULL deref in iova_to_phys
d410ec3c | 2025-01-03 | Xu Lu | iommu/riscv: Add shutdown function for iommu driver
d5e646e8 | 2025-01-03 | Xu Lu | iommu/riscv: Empty iommu queue before enabling it
b7304a50 | 2024-11-12 | Andrew Jones | iommu/riscv: Add support for platform msi
572b69be | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Paging domain support
43c6f8a2 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Command and fault queue support
a74001f2 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Device directory management.
570312b0 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Enable IOMMU registration and device probe.
08703d48 | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Add RISC-V IOMMU PCIe device driver
e6713f5e | 2024-10-15 | Tomasz Jeznach | iommu/riscv: Add RISC-V IOMMU platform device driver
25a83261 | 2024-10-15 | Tomasz Jeznach | dt-bindings: iommu: riscv: Add bindings for RISC-V IOMMU
3850237e | 2024-04-13 | Pasha Tatashin | iommu/vt-d: add wrapper functions for page allocations
8851b8e5 | 2024-02-16 | Krzysztof Kozlowski | iommu: constify of_phandle_args in xlate
b41ed47e | 2023-11-22 | Matt Coster | sizes.h: Add entries between SZ_32G and SZ_64T
f4dc9a34 | 2024-03-05 | Lu Baolu | iommu: Add static iommu_ops->release_domain
c93c43f2 | 2023-09-27 | Jason Gunthorpe | iommufd: Convert to alloc_domain_paging()
d75b2445 | 2024-04-13 | Pasha Tatashin | iommu: Move IOMMU_DOMAIN_BLOCKED global statics to ops->blocked_domain
7a85db36 | 2024-07-17 | Alexandre Ghiti | riscv: Stop emitting preventive sfence.vma for new userspace mappings with Svvptc
ebce2213 | 2024-07-17 | Alexandre Ghiti | riscv: Stop emitting preventive sfence.vma for new vmalloc mappings
dd27524a | 2023-10-20 | Anup Patel | KVM: riscv: selftests: Add SBI DBCN extension to get-reg-list test
d8fcff50 | 2022-07-22 | Anup Patel | RISC-V: KVM: Forward SBI DBCN extension to user-space
7892664b | 2023-10-11 | Anup Patel | RISC-V: KVM: Allow some SBI extensions to be disabled by default
51aa9151 | 2023-10-10 | Anup Patel | RISC-V: KVM: Change the SBI specification version to v2.0
f9214d3a | 2022-07-22 | Anup Patel | RISC-V: Add defines for SBI debug console extension
5d857154 | 2023-11-24 | Anup Patel | RISC-V: Enable SBI based earlycon support
f89046be | 2023-11-24 | Atish Patra | tty: Add SBI debug console support to HVC SBI driver
177bd9dc | 2023-11-24 | Anup Patel | tty/serial: Add RISC-V SBI debug console based earlycon
e1375536 | 2023-11-24 | Anup Patel | RISC-V: Add SBI debug console helper routines
a9f267c4 | 2023-11-24 | Anup Patel | RISC-V: Add stubs for sbi_console_putchar/getchar()
e5b8dbb2 | 2024-04-03 | Björn Töpel | riscv: Fix vector state restore in rt_sigreturn()
2caeffd2 | 2024-01-15 | Andy Chiu | riscv: vector: allow kernel-mode Vector with preemption
23a1d073 | 2024-01-15 | Andy Chiu | riscv: vector: use kmem_cache to manage vector context
